epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.116,0.86941,3.0423,1.27117,0.00233,1,0.82518,0.56132,0.61063,3.62386,1.28202,8e-05,8e-05,8e-05
2,31.4671,0.59879,2.28385,1.12311,0.00233,1,0.92389,0.69299,0.43762,3.46364,1.1352,0.00017406,0.00017406,0.00017406
3,47.0678,0.5805,1.54496,1.10836,0.52011,0.71429,0.813,0.67034,0.5861,3.2167,1.26323,0.00026152,0.00026152,0.00026152
4,63.1784,0.66893,1.65323,1.18263,0.03279,1,0.925,0.72993,0.55888,3.34296,1.21057,0.00034238,0.00034238,0.00034238
5,78.8444,0.52079,1.20301,1.05092,0.57979,0.85714,0.90167,0.77733,0.55957,3.27257,1.27097,0.00041664,0.00041664,0.00041664
6,95.0649,0.64422,1.25168,1.11451,0.78191,0.85714,0.92409,0.79039,0.54934,3.32837,1.36406,0.0004843,0.0004843,0.0004843
7,111.722,0.61657,1.6523,1.07642,1,0.74531,0.995,0.8294,0.68889,3.23313,1.48717,0.00054536,0.00054536,0.00054536
8,127.333,0.53778,1.28567,1.0903,0.82184,0.66505,0.89667,0.63282,0.82999,3.41805,1.52185,0.00059982,0.00059982,0.00059982
9,142.455,0.68764,1.24707,1.16028,0.61544,0.28571,0.62226,0.41511,0.81725,3.63933,1.58667,0.00064768,0.00064768,0.00064768
10,157.943,0.55708,1.21641,1.0868,0.62172,1,0.92375,0.56273,0.79227,3.16532,1.7423,0.00068894,0.00068894,0.00068894
11,173.666,0.69616,1.19715,1.17895,0.79725,0.71429,0.87444,0.72349,0.68464,2.86849,1.44618,0.0007236,0.0007236,0.0007236
12,188.902,0.5447,1.05198,1.08749,1,0.8142,0.953,0.72636,0.67191,2.38189,1.35624,0.00075166,0.00075166,0.00075166
13,204.101,0.61094,1.00104,1.10518,0.66991,1,0.918,0.70314,0.57484,2.56221,1.28013,0.00077312,0.00077312,0.00077312
14,219.481,0.55467,1.01614,1.0722,0.95964,1,0.995,0.86352,0.67562,2.56323,1.41133,0.00078798,0.00078798,0.00078798
15,235.465,0.66586,1.05744,1.15312,0.75322,0.87372,0.96389,0.76703,0.64926,2.70651,1.33048,0.00079624,0.00079624,0.00079624
16,251.803,0.60229,1.03583,1.12586,0.93969,1,0.995,0.81932,0.65242,2.71852,1.31121,0.0007979,0.0007979,0.0007979
17,267.129,0.61391,1.0145,1.08767,0.6997,0.71429,0.7742,0.5778,0.66551,2.83595,1.41886,0.00079296,0.00079296,0.00079296
18,282.486,0.55499,0.94965,1.05153,0.96637,0.71429,0.82222,0.64981,0.83662,2.624,1.52988,0.00078142,0.00078142,0.00078142
19,298.527,0.53244,0.90704,1.07613,0.96387,0.71429,0.80422,0.71034,0.83876,2.4485,1.52345,0.00076328,0.00076328,0.00076328
20,316.366,0.60036,0.93677,1.12486,0.78304,0.71429,0.75462,0.39183,1.26253,4.53719,2.0535,0.00073854,0.00073854,0.00073854
21,332.269,0.57193,1.72883,1.17695,0.68596,0.71429,0.74709,0.22339,1.99898,3.80013,2.83908,0.00068,0.00068,0.00068
22,348.026,0.47823,1.66705,1.13518,0.49729,0.42857,0.51475,0.36118,1.54243,4.06418,2.01979,0.000614,0.000614,0.000614
23,364.533,0.51688,1.76362,1.10202,0.54085,0.57143,0.49912,0.23043,1.25853,3.99116,1.95642,0.000548,0.000548,0.000548
24,380.176,0.50492,1.7759,1.19345,0.8758,0.42857,0.58663,0.26778,1.33818,4.98655,2.47342,0.000482,0.000482,0.000482
25,395.602,0.46913,1.50696,1.10937,0.66189,0.85714,0.7947,0.57386,0.82673,2.54931,1.6552,0.000416,0.000416,0.000416
26,411.503,0.42558,1.33867,1.14745,0.8387,0.85714,0.86963,0.71945,0.78917,1.8811,1.60954,0.00035,0.00035,0.00035
27,426.95,0.56118,1.39442,1.25653,0.91451,0.85714,0.96389,0.78578,0.72391,1.67265,1.47829,0.000284,0.000284,0.000284
28,442.94,0.4557,1.32137,1.03498,0.87466,0.9973,0.9775,0.86532,0.64978,1.53311,1.30546,0.000218,0.000218,0.000218
29,458.639,0.42581,1.25129,1.07648,0.86483,1,0.9775,0.86532,0.59676,1.53528,1.2032,0.000152,0.000152,0.000152
30,475.121,0.45436,1.26174,1.11081,0.99028,0.85714,0.9775,0.86532,0.56448,1.50646,1.15163,8.6e-05,8.6e-05,8.6e-05
